,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
1,"202Ilkay GündoganMan City, 31, M(C)","Ilkay Gündogan Man City, 31, M(C)",21(10),2017,0.9,1,0.5,-,0.4,1,0.2,-,6.7,2,1,1.1,1.1,0.5,0.1,0.4,0.5,1,1.1,63.0,91.9,0.3,3.4,-
2,"203Oleksandr ZinchenkoMan City, 25, D(L),M(CLR)","Oleksandr Zinchenko Man City, 25, D(L),M(CLR)",13(6),1273,1.6,0.9,0.7,0.3,1.0,0.8,-,-,6.7,-,-,0.8,1.1,0.1,0.1,0.4,0.7,-,1.1,63.7,90.7,0.7,1.7,-
3,"204John LundstramSheff Utd, 28, DMC","John Lundstram Sheff Utd, 28, DMC",26(8),2456,1.4,1,0.8,0.1,1.3,1.3,0.1,-,6.7,5,3,1.3,0.6,0.4,0.2,0.4,1.2,3,0.6,34.6,82.7,0.3,2.5,0.1
4,"205Christian KabaseleWatford, 31, D(C)","Christian Kabasele Watford, 31, D(C)",26(1),2253,1.4,1.3,0.8,0.8,4.6,0.6,0.9,-,6.7,-,2,0.3,0.2,0.5,-,0.2,0.4,2,0.2,24.8,72.7,-,2.2,-
5,"206Miguel AlmirónNewcastle, 28, AM(CLR),FW","Miguel Almirón Newcastle, 28, AM(CLR),FW",35(1),3034,1.7,0.9,0.8,-,0.4,0.9,-,-,6.7,4,2,1.6,0.9,1.6,0.7,1,2.2,2,0.9,23.0,80.2,0.2,0.6,0.1
6,"207Jamaal LascellesNewcastle, 28, D(C)","Jamaal Lascelles Newcastle, 28, D(C)",24,2079,0.6,1.2,0.9,0.4,4.8,0.2,0.8,-,6.7,1,-,0.4,0.1,0.8,0.1,0.2,0.3,-,0.1,35.3,79.8,-,2.2,-
7,"208Conor HourihaneAston Villa, 31, M(C)","Conor Hourihane Aston Villa, 31, M(C)",18(9),1539,0.6,0.3,0.5,-,1.0,0.6,0.1,-,6.69,3,5,1.1,1.4,0.8,0.1,0.3,0.4,5,1.4,22.7,82.7,1,0.7,-
8,"209Aaron RamsdaleBournemouth, 24, GK","Aaron Ramsdale Bournemouth, 24, GK",37,3330,0.1,-,-,-,1.1,-,-,-,6.69,-,1,-,0.1,0.1,-,-,-,1,0.1,25.5,52.0,-,5.5,-
9,"210Mattéo GuendouziArsenal, 23, M(C)","Mattéo Guendouzi Arsenal, 23, M(C)",19(5),1748,1.3,1.2,0.7,-,1.4,1.2,0.3,-,6.69,-,1,0.5,0.5,2.0,-,0.9,0.8,1,0.5,48.0,88.4,-,2.9,0.1
0,"191Yves BissoumaBrighton, 25, M(C)","Yves Bissouma Brighton, 25, M(C)",15(7),1263,2.2,1,1.4,-,1.0,1,0.1,-,6.71,1,-,0.7,0.2,0.7,-,1.1,1.5,-,0.2,28.1,85.0,-,1.6,-
1,"192Alex McCarthySouthampton, 32, GK","Alex McCarthy Southampton, 32, GK",28,2520,-,-,-,-,0.9,-,-,-,6.71,-,-,-,-,0.1,-,-,-,-,-,26.6,51.5,-,7.2,-
2,"193Mesut ÖzilArsenal, 33, M(CLR)","Mesut Özil Arsenal, 33, M(CLR)",18,1449,0.9,0.3,0.8,-,0.1,1.1,-,-,6.71,1,2,0.5,2.1,1.0,0.3,1.2,1.4,2,2.1,46.4,88.3,1.1,1.2,-
3,"194Josh BrownhillBurnley, 26, M(CR)","Josh Brownhill Burnley, 26, M(CR)",9(1),806,1.4,1.4,0.6,-,1.7,0.8,0.4,-,6.71,-,-,0.6,0.3,0.9,-,0.4,1,-,0.3,33.1,82.5,-,1.0,-
4,"195Shane DuffyBrighton, 30, D(C)","Shane Duffy Brighton, 30, D(C)",12(7),1232,0.9,1.1,0.7,0.4,3.7,0.6,0.4,-,6.71,1,-,0.4,0.1,0.5,-,0.2,0.5,-,0.1,33.7,80.7,0.1,2.3,-
5,"196Eric DierTottenham, 28, D(CR),DMC","Eric Dier Tottenham, 28, D(CR),DMC",15(4),1342,1.1,1.1,1,0.2,3.2,0.5,0.5,-,6.71,-,2,0.4,0.4,0.2,0.1,0.2,0.3,2,0.4,48.1,80.7,-,2.5,0.1
6,"197Victor LindelöfMan Utd, 27, D(CR)","Victor Lindelöf Man Utd, 27, D(CR)",35,3124,0.8,0.7,0.6,0.6,3.5,0.1,0.5,1,6.71,1,-,0.2,0.1,0.2,-,0.1,0.4,-,0.1,59.8,86.5,-,2.1,-
7,"198EmersonChelsea, 27, D(L),M(L)","Emerson Chelsea, 27, D(L),M(L)",13(2),1026,1.5,1.2,0.3,0.2,0.9,0.3,0.1,-,6.71,-,-,0.9,1.3,1.1,0.1,0.5,1.1,-,1.3,47.9,85.1,0.9,1.5,-
8,"199Brandon WilliamsMan Utd, 21, D(L),M(L)","Brandon Williams Man Utd, 21, D(L),M(L)",11(6),1037,1.2,0.9,0.8,0.4,0.8,1.2,0.2,-,6.71,1,-,0.4,0.8,0.9,0.1,0.4,1.3,-,0.8,32.5,84.6,0.2,1.0,0.1
9,"200Tanguy NdombeleTottenham, 25, M(C)","Tanguy Ndombele Tottenham, 25, M(C)",12(9),1011,1.1,0.7,0.7,-,0.3,0.6,0.1,-,6.71,2,2,0.4,0.6,1.4,-,1.1,1.1,2,0.6,30.1,85.6,0.1,0.9,-
0,"181Federico FernándezNewcastle, 33, D(C)","Federico Fernández Newcastle, 33, D(C)",29(3),2618,1.3,0.8,0.5,0.3,5.8,0.7,0.9,1,6.73,2,2,0.5,0.1,0.6,0.1,0.1,0.7,2,0.1,34.7,77.0,0.2,3.1,-
1,"182Ondrej DudaNorwich, 27, AM(C),FW","Ondrej Duda Norwich, 27, AM(C),FW",9(1),729,1.8,0.6,0.9,-,0.7,0.9,0.2,-,6.72,-,-,1,1.6,1.3,0.2,0.3,2.2,-,1.6,33.8,83.1,1.3,1.4,0.2
2,"183Kasper SchmeichelLeicester, 35, GK","Kasper Schmeichel Leicester, 35, GK",38,3420,-,-,-,-,0.3,-,-,-,6.72,-,-,-,0.1,0.2,-,-,-,-,0.1,27.2,75.4,-,6.5,-
3,"184Chris WoodBurnley, 30, FW","Chris Wood Burnley, 30, FW",29(3),2446,0.2,0.1,1.1,-,0.6,0.3,0.1,1,6.72,14,1,2,0.7,0.9,1.1,0.9,2.4,1,0.7,14.4,63.0,-,0.1,-
4,"185Martin DúbravkaNewcastle, 33, GK","Martin Dúbravka Newcastle, 33, GK",38,3420,-,-,-,-,0.9,-,-,-,6.72,-,-,-,-,0.1,-,-,0.1,-,-,25.5,50.6,-,7.9,-
5,"186Steve CookBournemouth, 31, D(C)","Steve Cook Bournemouth, 31, D(C)",28(1),2430,0.8,1.5,0.6,0.7,5.2,0.4,0.8,-,6.72,1,-,0.4,0.1,0.5,-,0.1,0.1,-,0.1,43.8,79.2,-,2.7,-
6,"187Dean HendersonSheff Utd, 25, GK","Dean Henderson Sheff Utd, 25, GK",36,3240,-,-,-,-,0.8,-,-,-,6.72,-,-,-,-,0.1,-,-,0.1,-,-,25.9,36.8,-,7.4,-
7,"188Isaac HaydenNewcastle, 27, D(C),DMC","Isaac Hayden Newcastle, 27, D(C),DMC",26(3),2226,1.9,1.3,0.9,-,1.1,1,0.2,-,6.72,1,2,0.6,0.5,0.7,0.1,0.6,1,2,0.5,27.6,79.0,0.2,0.6,-
8,"189Craig DawsonWatford, 32, D(CR)","Craig Dawson Watford, 32, D(CR)",26(3),2361,1,1.2,1.1,0.6,3.8,0.5,1.1,-,6.72,2,-,0.9,0.2,0.4,-,0.1,0.5,-,0.2,32.3,77.5,-,3.0,-
9,"190Ismaïla SarrWatford, 24, AM(LR),FW","Ismaïla Sarr Watford, 24, AM(LR),FW",22(6),2030,0.4,0.6,0.8,-,0.2,0.6,-,-,6.71,5,4,1.6,0.9,1.7,0.5,2,2.7,4,0.9,17.6,81.5,0.6,0.3,-
0,"171Ashley YoungMan Utd, 36, D(LR),M(LR)","Ashley Young Man Utd, 36, D(LR),M(LR)",10(2),954,1.2,0.9,1.2,0.1,1.8,1.0,0.2,-,6.76,-,-,0.3,1.6,1.3,-,0.6,0.8,-,1.6,47.6,80.6,1.8,2.3,-
1,"172Patrick van AanholtCrystal Palace, 31, D(L),M(L)","Patrick van Aanholt Crystal Palace, 31, D(L),M(L)",29,2511,1.5,1.6,0.3,0.1,1.5,0.9,0.3,1,6.76,3,2,0.9,1.1,0.3,0.1,0.5,1.1,2,1.1,41.9,81.2,1.1,1.0,-
2,"173Fabian SchärNewcastle, 30, D(C)","Fabian Schär Newcastle, 30, D(C)",18(4),1634,1.8,2.1,1.3,0.3,3.3,1.0,0.8,-,6.75,2,-,0.9,0.2,1.1,0.1,0.2,0.6,-,0.2,34.6,74.8,-,4.3,-
3,"174Nathan AkéBournemouth, 27, D(CL),DMC","Nathan Aké Bournemouth, 27, D(CL),DMC",29,2505,1.1,1.2,0.3,0.7,5.1,0.3,1,-,6.75,2,2,0.9,0.2,0.4,0.1,0.2,0.3,2,0.2,41.7,87.6,-,1.8,-
4,"175Andreas ChristensenChelsea, 26, D(C),DMC","Andreas Christensen Chelsea, 26, D(C),DMC",21,1754,1.8,1.4,0.8,0.4,2.7,0.3,0.4,-,6.75,-,-,0.3,0.2,0.5,-,-,0.2,-,0.2,62.2,91.4,-,2.5,0.1
5,"176Angelo OgbonnaWest Ham, 33, D(C)","Angelo Ogbonna West Ham, 33, D(C)",31,2787,1.2,0.9,0.7,0.8,4.2,0.5,1,1,6.74,2,-,0.4,0.1,0.5,-,0.1,0.3,-,0.1,31.5,76.2,-,2.5,-
6,"177Chris MephamBournemouth, 24, D(C)","Chris Mepham Bournemouth, 24, D(C)",10(2),911,1.7,1.4,0.9,0.5,5.2,0.3,0.9,-,6.73,1,-,0.6,0.1,0.4,0.1,0.3,0.4,-,0.1,41.7,86.6,0.1,1.6,-
7,"178Daryl JanmaatWatford, 32, D(CR),M(R)","Daryl Janmaat Watford, 32, D(CR),M(R)",7(1),608,1.8,0.9,0.6,0.4,2.4,0.9,0.3,1,6.73,-,1,0.5,0.8,0.1,-,0.3,1.1,1,0.8,33.4,76.4,0.9,1.0,-
8,"179Mason GreenwoodMan Utd, 20, AM(R),FW","Mason Greenwood Man Utd, 20, AM(R),FW",12(19),1313,0.5,0.2,0.4,-,0.2,0.5,-,-,6.73,10,1,1.3,0.5,0.3,0.1,0.5,0.8,1,0.5,16.0,86.3,-,0.6,-
9,"180Moussa SissokoTottenham, 32, M(CR)","Moussa Sissoko Tottenham, 32, M(CR)",28(1),2455,1.3,0.9,1.5,0.1,1.2,1.0,0.1,-,6.73,2,1,0.5,0.6,0.6,0.1,0.7,1.3,1,0.6,43.0,87.5,0.1,1.2,-
0,"161Ben DaviesTottenham, 29, D(CL),M(L)","Ben Davies Tottenham, 29, D(CL),M(L)",16(2),1432,1.6,1.2,1.5,0.4,2.3,0.8,0.7,-,6.77,-,-,0.4,0.5,0.4,0.1,0.5,0.4,-,0.5,44.2,76.6,0.6,1.4,-
1,"162Sam ByramNorwich, 28, D(LR),M(R)","Sam Byram Norwich, 28, D(LR),M(R)",15(2),1294,2.4,1.5,0.9,-,3.6,1.1,0.5,-,6.77,-,-,0.9,0.4,0.5,0.1,0.3,0.8,-,0.4,37.4,77.8,0.1,0.9,-
2,"163Mason HolgateEverton, 25, D(CR),DMC,M(R)","Mason Holgate Everton, 25, D(CR),DMC,M(R)",24(3),2084,1.6,1.3,0.6,0.3,3.5,0.4,0.5,-,6.77,-,3,0.4,0.1,0.9,-,0.2,0.3,3,0.1,39.2,84.2,-,4.2,0.1
3,"164Joshua KingBournemouth, 30, AM(CLR),FW","Joshua King Bournemouth, 30, AM(CLR),FW",24(2),2020,0.6,0.3,1.4,-,0.3,0.5,0.1,-,6.76,6,4,1,1.2,1.0,0.3,2.1,3.0,4,1.2,19.2,72.3,0.2,0.2,-
4,"165Ben JohnsonWest Ham, 22, D(LR),M(L)","Ben Johnson West Ham, 22, D(LR),M(L)",3,270,2.7,1.0,2.7,-,3.3,1.0,0.7,-,6.76,-,-,0.3,0.3,0.3,-,0.3,1.0,-,0.3,40.3,72.7,0.7,2.0,-
5,"166Harvey BarnesLeicester, 24, AM(CL)","Harvey Barnes Leicester, 24, AM(CL)",24(12),2094,0.4,0.2,0.6,-,0.1,0.5,0.1,-,6.76,6,8,1.7,1,0.8,0.1,0.6,1.6,8,1,19.4,79.5,0.1,0.3,0.1
6,"167Diogo JotaWolves, 25, AM(CLR),FW","Diogo Jota Wolves, 25, AM(CLR),FW",27(7),2298,0.8,0.3,1.2,-,0.3,1.1,-,-,6.76,7,1,2,0.9,1.8,0.1,1.6,2.4,1,0.9,24.8,79.8,0.3,0.7,-
7,"168Jean-Philippe GbaminEverton, 26, D(CR),DMC","Jean-Philippe Gbamin Everton, 26, D(CR),DMC",1(1),135,2.0,0.5,1.0,-,2.0,0.5,-,-,6.76,-,-,-,-,1.0,-,2.0,1.0,-,-,35.0,71.4,-,1.0,-
8,"169Wesley MoraesAston Villa, 25, FW","Wesley Moraes Aston Villa, 25, FW",21,1790,0.7,0.2,2.0,-,1.1,0.2,0.1,-,6.76,5,1,1.7,0.5,0.7,0.7,0.9,2.8,1,0.5,17.6,71.8,-,0.6,-
9,"170Cédric SoaresSouthampton, 30, D(LR),M(R)","Cédric Soares Southampton, 30, D(LR),M(R)",16,1310,2.8,1.2,0.6,0.2,2.8,1.0,0.3,-,6.76,-,1,0.6,0.7,0.2,-,0.6,1.1,1,0.7,30.9,68.8,0.9,1.4,-
0,"151Granit XhakaArsenal, 29, D(L),M(C)","Granit Xhaka Arsenal, 29, D(L),M(C)",30(1),2591,1.5,0.7,1.8,0.1,1.8,1,0.5,-,6.78,1,2,0.4,0.5,1.0,-,0.4,0.9,2,0.5,61.4,88.1,0.1,4.1,-
1,"152PedroChelsea, 34, M(CLR),FW","Pedro Chelsea, 34, M(CLR),FW",8(3),662,1.4,0.8,0.7,-,0.1,1.1,-,-,6.78,1,1,2,1.5,1.0,-,0.8,1.6,1,1.5,28.6,83.2,0.3,0.9,0.3
2,"153Moussa DjenepoSouthampton, 23, AM(LR)","Moussa Djenepo Southampton, 23, AM(LR)",10(8),926,1.5,0.5,1.3,-,0.5,0.6,0.1,-,6.78,2,2,1.1,0.6,1.7,0.2,1.2,2.2,2,0.6,13.3,74.1,0.2,0.3,-
3,"154Joe GomezLiverpool, 24, D(CLR)","Joe Gomez Liverpool, 24, D(CLR)",22(6),2000,0.8,1.4,0.8,0.6,2.1,0.4,0.3,-,6.78,-,-,-,0.2,0.5,-,0.1,0.5,-,0.2,71.0,88.0,0.1,3.7,-
4,"155Antonio RüdigerChelsea, 29, D(CR)","Antonio Rüdiger Chelsea, 29, D(CR)",19(1),1711,1.4,0.8,1,0.3,2.8,0.5,0.5,1,6.77,2,-,0.6,0.3,0.4,-,0.2,0.3,-,0.3,74.6,86.8,0.1,5.7,-
5,"156Nick PopeBurnley, 30, GK","Nick Pope Burnley, 30, GK",38,3420,-,0.1,-,-,0.7,-,-,-,6.77,-,-,-,0.1,0.2,-,-,-,-,0.1,26.5,37.6,-,7.3,-
6,"157Grant HanleyNorwich, 30, D(C)","Grant Hanley Norwich, 30, D(C)",14(1),1262,1.6,2.1,0.8,0.3,5.1,0.4,1.2,1,6.77,-,-,0.5,-,1.3,-,0.1,0.3,-,-,43.9,82.8,-,2.1,-
7,"158Ayoze PérezLeicester, 28, AM(CLR),FW","Ayoze Pérez Leicester, 28, AM(CLR),FW",26(7),2020,1.4,0.4,0.9,-,0.2,1.4,-,-,6.77,8,4,1.4,0.8,0.9,0.2,1.8,1.9,4,0.8,22.2,79.7,0.2,0.3,0.1
8,"159Kortney HauseAston Villa, 26, D(CL)","Kortney Hause Aston Villa, 26, D(CL)",17(1),1544,1.2,1.1,1.3,0.2,5.2,0.4,1.1,-,6.77,1,-,1.1,0.1,0.5,0.1,0.4,0.7,-,0.1,44.4,73.5,-,3.4,-
9,"160Kyle Walker-PetersTottenham, 25, D(LR),M(R)","Kyle Walker-Peters Tottenham, 25, D(LR),M(R)",3,242,2.7,1.0,0.3,1.7,1.7,1.3,0.7,-,6.77,-,-,0.3,0.7,1.7,0.3,1,1,-,0.7,61.7,87.6,0.3,1.3,-
0,"141David McGoldrickSheff Utd, 34, AM(CLR),FW","David McGoldrick Sheff Utd, 34, AM(CLR),FW",22(6),1825,1.5,0.1,1.1,-,0.8,0.5,0.1,-,6.81,2,2,1.6,0.6,0.6,0.4,1.0,2.2,2,0.6,21.8,74.9,0.1,0.6,-
1,"142Nicolás OtamendiMan City, 34, D(C)","Nicolás Otamendi Man City, 34, D(C)",18(6),1711,1.2,0.9,0.9,0.5,3.0,0.7,0.4,-,6.8,2,-,0.6,0.2,0.1,-,0.1,0.5,-,0.2,63.9,92.4,-,2.5,-
2,"143Ryan FredericksWest Ham, 29, D(R),M(R)","Ryan Fredericks West Ham, 29, D(R),M(R)",25(2),2237,3.0,0.9,0.9,0.3,2.4,0.9,0.4,-,6.8,-,3,0.1,0.8,0.8,-,0.4,0.7,3,0.8,31.7,74.1,0.6,1.1,-
3,"144James JustinLeicester, 24, D(CLR),M(LR)","James Justin Leicester, 24, D(CLR),M(LR)",11(2),1010,2.8,0.8,0.6,0.3,1.8,0.8,0.5,1,6.8,-,1,0.5,0.9,1.5,0.1,0.9,1.4,1,0.9,52.5,82.6,0.5,1.5,-
4,"145Adam WebsterBrighton, 27, D(C)","Adam Webster Brighton, 27, D(C)",31,2670,1.0,1.5,0.4,0.4,3.5,0.6,0.8,1,6.79,3,1,0.5,0.4,0.6,-,0.2,0.6,1,0.4,60.6,83.1,0.1,3.7,-
5,"146Robert SnodgrassWest Ham, 34, M(CLR)","Robert Snodgrass West Ham, 34, M(CLR)",17(7),1513,1.2,0.2,0.8,-,0.5,1.3,-,-,6.79,5,5,0.9,1.4,1.3,0.2,1.0,0.7,5,1.4,21.0,77.8,1.6,0.7,-
6,"147Jan VertonghenTottenham, 35, D(CL)","Jan Vertonghen Tottenham, 35, D(CL)",19(4),1647,1.7,1.4,0.3,0.3,2.9,0.5,0.4,-,6.79,1,1,0.2,0.1,0.7,-,0.3,0.4,1,0.1,47.9,82.8,-,1.7,-
7,"148Ashley WestwoodBurnley, 32, DMC","Ashley Westwood Burnley, 32, DMC",35,3150,1.5,0.9,0.9,-,0.7,0.9,0.3,-,6.79,2,6,0.4,1.5,0.9,-,0.3,0.8,6,1.5,49.7,78.7,1.1,3.3,0.1
8,"149George BaldockSheff Utd, 29, D(CR),M(R)","George Baldock Sheff Utd, 29, D(CR),M(R)",38,3420,1.6,0.9,1.2,0.1,1.8,0.5,0.1,-,6.79,2,3,0.3,0.6,1.2,0.3,0.6,1.1,3,0.6,29.4,75.9,1,0.6,-
9,"150AngeliñoMan City, 25, D(L),M(L)","Angeliño Man City, 25, D(L),M(L)",4(2),422,0.8,1.5,0.3,0.2,2.5,0.3,-,-,6.78,-,-,0.8,1.5,0.3,-,0.5,1.0,-,1.5,56.3,84.3,1.5,1.2,-
0,"131Enda StevensSheff Utd, 31, D(CL),M(L)","Enda Stevens Sheff Utd, 31, D(CL),M(L)",38,3347,2.1,0.9,1.0,0.1,1.6,1.4,0.2,-,6.82,2,4,0.6,0.9,0.5,0.1,1.1,1.4,4,0.9,38.7,74.9,0.5,1.8,0.1
1,"132Rúben NevesWolves, 25, DMC","Rúben Neves Wolves, 25, DMC",35(3),3060,1.6,1.5,0.8,-,0.8,1.4,0.2,-,6.82,2,2,1.6,0.8,0.4,-,0.3,0.4,2,0.8,53.2,80.1,0.2,5.8,0.1
2,"133Sokratis PapastathopoulosArsenal, 33, D(CR)","Sokratis Papastathopoulos Arsenal, 33, D(CR)",19,1697,1.3,0.9,1.0,0.2,3.5,0.6,1.3,-,6.82,2,-,0.4,0.1,0.6,0.1,0.3,0.2,-,0.1,54.2,87.9,-,3.7,-
3,"134Oliver NorwoodSheff Utd, 31, M(C)","Oliver Norwood Sheff Utd, 31, M(C)",37(1),3101,1.7,1.2,0.8,-,1.0,1.8,0.3,-,6.82,1,1,0.4,1.3,0.4,-,0.1,0.5,1,1.3,52.8,82.3,1.4,6.1,-
4,"135Christian BentekeCrystal Palace, 31, FW","Christian Benteke Crystal Palace, 31, FW",13(11),1259,0.4,0.2,1.0,-,1.2,0.4,0.2,-,6.81,2,1,1.7,0.8,0.8,0.5,1.0,2.0,1,0.8,14.0,54.3,-,0.3,0.1
5,"136Georginio WijnaldumLiverpool, 31, M(CLR)","Georginio Wijnaldum Liverpool, 31, M(CLR)",35(2),2948,1.0,0.5,0.4,0.1,0.9,0.8,0.1,-,6.81,4,-,1.0,0.5,0.9,-,0.8,1.2,-,0.5,43.9,90.8,-,1.1,-
6,"137Sander BergeSheff Utd, 24, M(C)","Sander Berge Sheff Utd, 24, M(C)",12(2),950,1.6,0.7,1.3,-,0.9,0.4,0.1,-,6.81,1,1,0.4,0.1,0.4,0.1,0.5,1.1,1,0.1,26.3,79.9,0.1,0.9,-
7,"138James McArthurCrystal Palace, 34, M(CLR)","James McArthur Crystal Palace, 34, M(CLR)",37,3105,2.4,1.6,1.5,-,1.3,1.9,0.5,-,6.81,-,3,0.8,0.9,0.9,0.1,1.1,1.5,3,0.9,38.6,78.5,0.2,1.7,-
8,"139JonnyWolves, 28, D(CLR),M(LR)","Jonny Wolves, 28, D(CLR),M(LR)",33(2),2891,2.6,1.5,1.0,-,0.8,1.5,0.3,-,6.81,2,2,0.5,0.7,0.8,0.1,1.0,1.5,2,0.7,31.1,81.3,0.3,0.6,-
9,"140Matt RitchieNewcastle, 32, D(L),M(CLR)","Matt Ritchie Newcastle, 32, D(L),M(CLR)",14(4),1317,1.2,0.8,1.4,0.1,1.5,0.7,0.3,-,6.81,2,1,1.4,1.8,0.9,-,0.4,1.1,1,1.8,29.2,74.3,1.6,1.3,-
0,"121Tariq LampteyBrighton, 21, D(R),M(R)","Tariq Lamptey Brighton, 21, D(R),M(R)",7(1),591,0.9,2.0,1.6,0.1,1.9,0.9,-,-,6.84,-,1,0.3,0.8,2.1,-,0.9,1.6,1,0.8,21.4,83.6,0.4,0.3,-
1,"122Dani CeballosArsenal, 25, M(CL)","Dani Ceballos Arsenal, 25, M(CL)",18(6),1699,1.9,1.3,0.8,-,0.5,1.8,0.1,-,6.84,-,2,0.5,1.2,1.5,-,1.3,1.0,2,1.2,52.1,87.9,0.4,3.2,0.1
2,"123Benjamin MendyMan City, 27, D(L),DMC,M(L)","Benjamin Mendy Man City, 27, D(L),DMC,M(L)",18(1),1497,0.9,0.8,0.6,0.3,0.9,0.9,0.1,-,6.83,-,2,0.5,1.1,0.1,0.1,0.9,0.7,2,1.1,58.1,88.4,1.2,1.7,-
3,"124Michael KeaneEverton, 29, D(CR)","Michael Keane Everton, 29, D(CR)",28(3),2586,1.0,1.4,0.6,0.6,4.8,0.3,0.9,1,6.83,2,-,0.5,0.2,0.3,-,0.1,0.2,-,0.2,46.7,82.8,-,2.9,-
4,"125Pierre-Emile HøjbjergSouthampton, 26, M(C)","Pierre-Emile Højbjerg Southampton, 26, M(C)",30(3),2751,2.4,1.4,1.4,0.1,1.5,1.6,0.2,-,6.83,-,1,1.4,0.9,1.1,-,0.8,1.9,1,0.9,55.2,78.1,0.3,3.2,0.1
5,"126Jan BednarekSouthampton, 26, D(C)","Jan Bednarek Southampton, 26, D(C)",34,3058,1.9,2.3,1.0,0.6,5.7,0.9,0.7,1,6.83,1,1,0.2,0.1,0.4,-,-,0.3,1,0.1,45.2,75.3,-,2.5,-
6,"127Yerry MinaEverton, 27, D(C)","Yerry Mina Everton, 27, D(C)",25(4),2282,1.3,1.0,0.7,1,3.4,0.2,0.5,1,6.83,2,1,1.0,0.2,0.4,0.1,-,0.2,1,0.2,46.9,83.8,-,3.7,-
7,"128Jannik VestergaardSouthampton, 29, D(C)","Jannik Vestergaard Southampton, 29, D(C)",17(2),1498,1.0,1.4,0.5,0.6,5.1,0.9,0.5,-,6.82,1,-,0.6,0.3,0.5,-,0.1,0.6,-,0.3,43.3,77.1,0.1,2.2,-
8,"129James TomkinsCrystal Palace, 33, D(CR)","James Tomkins Crystal Palace, 33, D(CR)",18,1584,1.6,1.2,0.8,0.3,5.5,0.4,0.8,-,6.82,1,1,0.5,0.1,0.6,0.1,0.1,0.3,1,0.1,37.3,79.4,-,2.6,-
9,"130Toby AlderweireldTottenham, 33, D(CR)","Toby Alderweireld Tottenham, 33, D(CR)",33,2958,1.2,0.9,0.5,0.2,5.2,0.4,1,1,6.82,2,2,0.5,0.3,0.1,-,0.2,0.3,2,0.3,59.9,81.7,0.1,4.3,0.1
0,"111Kyle Walker-PetersSouthampton, 25, D(LR),M(R)","Kyle Walker-Peters Southampton, 25, D(LR),M(R)",7(3),704,1.3,1.4,0.6,0.1,1.7,1.0,0.3,-,6.86,-,-,0.2,0.4,2.1,0.1,0.6,0.9,-,0.4,34.7,76.9,-,1.0,-
1,"112Calum ChambersArsenal, 27, D(CR),DMC","Calum Chambers Arsenal, 27, D(CR),DMC",13(1),1104,1.9,1.1,1.3,0.2,2.9,0.4,0.5,-,6.86,1,1,0.9,0.5,0.3,-,0.7,1.1,1,0.5,56.9,82.4,0.3,2.5,-
2,"113John FleckSheff Utd, 30, DMC","John Fleck Sheff Utd, 30, DMC",28(2),2518,1.2,0.8,0.8,-,0.7,1.4,0.1,-,6.86,5,2,1.0,1.3,0.7,-,0.6,1.5,2,1.3,33.3,80.3,1.1,1.3,0.1
3,"114Phil FodenMan City, 21, AM(CLR),FW","Phil Foden Man City, 21, AM(CLR),FW",9(14),893,0.6,0.3,0.5,-,0.1,0.6,-,-,6.86,5,2,1.5,0.8,0.6,-,0.7,0.8,2,0.8,21.5,88.5,0.3,0.7,-
4,"115Matt TargettAston Villa, 26, D(L),M(L)","Matt Targett Aston Villa, 26, D(L),M(L)",27(1),2298,1.9,2.0,1.0,0.1,2.4,1.1,0.3,-,6.86,1,2,0.3,1.0,0.6,-,0.5,0.6,2,1.0,33.8,72.6,0.8,1.8,0.1
5,"116FernandinhoMan City, 37, D(CR),DMC","Fernandinho Man City, 37, D(CR),DMC",26(4),2399,1.7,0.8,0.9,0.6,2.7,0.6,0.5,1,6.86,-,1,0.6,0.3,0.6,-,0.2,0.5,1,0.3,74.1,89.8,-,4.4,-
6,"117Luke ShawMan Utd, 26, D(CL),M(L)","Luke Shaw Man Utd, 26, D(CL),M(L)",20(4),1764,1.4,1.0,1.0,0.2,2.1,0.6,0.3,-,6.85,-,-,0.5,0.8,0.4,0.2,0.1,0.6,-,0.8,47.6,87.4,0.4,0.5,-
7,"118JorginhoChelsea, 30, DMC","Jorginho Chelsea, 30, DMC",27(4),2384,2.1,2.1,0.9,-,0.8,1.8,0.2,-,6.85,4,2,0.4,0.7,1.0,-,0.7,0.6,2,0.7,72.8,88.4,-,4.3,0.2
8,"119Ross BarkleyChelsea, 28, M(CLR)","Ross Barkley Chelsea, 28, M(CLR)",13(8),1104,0.8,0.3,0.4,-,0.3,0.6,0.1,-,6.84,1,4,1.9,1.1,0.7,-,1.6,1.2,4,1.1,29.4,89.0,0.1,1.9,0.2
9,"120Jetro WillemsNewcastle, 28, D(L),DMC,M(L)","Jetro Willems Newcastle, 28, D(L),DMC,M(L)",18(1),1498,1.9,0.9,0.5,0.2,2.0,1.1,0.3,-,6.84,2,2,0.7,0.8,0.9,0.1,0.4,1.1,2,0.8,22.6,76.9,0.3,0.5,0.1
