,posX,posY,Age,Mins,Tackles,Inter,KeyP,Goals,Assists,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,Rating,CurrentPts,Pts,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating
1304,0.0,1.0,30,2208,2.9,1.6,0.2,0,0,0.3,0.1,66.3,91.2,0.0,6.9,0.0,7.12,34.0,145.0,1079.0,2.9,2.2,0,1,0.1,65.3,92.5,7.14
1305,0.0,2.0,26,2037,1.2,0.9,1.1,5,7,0.6,0.6,54.0,90.6,0.9,2.4,0.2,7.11,34.0,145.0,886.0,1.4,1.0,2,1,1.1,53.8,89.1,6.99
1306,1.5,1.0,29,953,2.3,1.6,0.6,0,1,0.3,0.4,45.0,89.6,0.7,1.8,0.0,7.11,34.0,145.0,153.0,0.3,0.7,0,0,0.0,20.4,92.3,6.33
1307,0.0,1.0,34,1779,0.7,0.5,1.7,2,8,0.4,0.4,57.5,92.7,1.0,3.3,0.3,7.11,34.0,145.0,335.0,0.6,0.6,0,0,0.4,38.4,91.1,6.48
1308,1.0,1.0,27,576,2.6,1.1,0.7,0,0,0.3,0.6,21.6,66.2,1.9,0.9,0.1,7.1,22.0,101.0,270.0,3.0,1.7,0,2,2.3,38.0,77.2,7.43
1309,0.0,0.0,21,2033,1.2,2.0,0.0,0,0,0.2,0.1,40.2,89.0,0.0,2.8,0.0,7.16,29.0,152.0,1014.0,1.9,2.4,0,0,0.1,42.8,92.8,7.45
1310,1.0,3.0,23,2473,0.8,0.4,0.6,22,1,1.2,1.0,23.9,79.2,0.4,0.7,0.1,7.15,22.0,101.0,538.0,1.4,0.3,2,0,0.4,21.2,73.8,6.93
1311,2.0,0.0,22,2277,2.9,1.8,1.0,0,3,0.2,1.0,40.1,86.7,0.4,0.9,0.1,7.14,29.0,152.0,437.0,2.0,2.0,0,1,1.8,57.6,91.3,7.3
1312,1.0,0.0,30,2105,1.4,2.4,0.2,2,0,0.2,0.3,54.0,88.6,0.1,2.0,0.0,7.13,34.0,145.0,324.0,1.1,1.0,0,0,0.0,35.7,88.0,6.34
1313,0.0,0.0,26,1971,2.0,3.0,0.1,2,0,0.2,0.2,37.5,75.9,0.0,2.1,0.0,7.13,10.0,37.0,122.0,1.5,2.0,0,0,0.0,28.0,78.6,6.62
1314,1.0,0.0,20,2960,1.9,3.7,0.2,0,1,0.2,0.3,51.5,80.1,0.1,4.3,0.1,7.19,10.0,37.0,450.0,2.6,4.0,0,0,0.2,59.2,77.4,7.11
1315,2.0,0.0,29,1080,3.4,1.9,0.6,0,0,0.4,0.4,29.6,77.8,0.7,1.6,0.0,7.18,22.0,101.0,262.0,3.0,0.3,0,0,0.0,25.0,57.3,6.68
1316,0.0,0.5,25,2140,2.8,2.5,0.4,5,1,0.7,0.5,44.8,77.9,0.1,2.3,0.1,7.17,10.0,37.0,406.0,2.8,4.0,2,0,0.2,55.0,78.5,7.44
1317,0.0,2.0,30,2612,3.5,1.5,1.1,0,5,0.8,0.6,49.6,79.0,1.5,3.6,0.1,7.17,22.0,101.0,551.0,1.6,1.0,0,1,1.1,51.4,82.2,6.91
1318,1.0,2.0,22,2884,2.8,1.2,1.9,2,10,1.6,1.0,52.7,78.7,2.2,1.8,0.1,7.32,22.0,101.0,834.0,2.9,1.6,2,4,2.7,56.9,81.3,7.84
1319,0.0,1.0,25,2492,2.9,1.5,0.5,1,2,0.5,0.2,67.2,91.7,0.1,3.8,0.1,7.24,34.0,145.0,788.0,3.3,2.5,0,0,0.1,60.3,92.0,7.1
1320,2.0,1.0,25,2335,2.1,1.7,1.0,1,3,0.3,1.0,69.6,88.4,0.5,2.4,0.0,7.22,34.0,145.0,962.0,2.2,2.0,0,2,0.8,72.2,87.3,7.17
1321,2.0,3.0,28,1945,1.1,0.4,0.8,12,5,0.9,1.0,19.8,66.2,0.1,0.1,0.0,7.22,22.0,101.0,832.0,1.2,0.7,5,0,0.1,19.2,59.9,7.39
1322,0.0,0.0,31,2225,1.7,1.8,0.4,2,2,0.2,0.4,44.5,86.7,0.1,3.6,0.0,7.2,29.0,152.0,540.0,1.7,2.0,0,1,0.2,53.2,90.6,7.5
1323,2.0,1.0,26,2931,2.3,1.3,1.5,2,7,0.6,0.9,55.7,83.5,1.4,3.3,0.1,7.39,29.0,152.0,779.0,2.2,1.5,1,2,1.7,54.6,86.5,7.56
1324,0.0,0.0,28,3060,1.4,2.6,0.1,3,0,0.3,0.2,34.2,76.2,0.0,3.3,0.0,7.37,22.0,101.0,810.0,2.1,2.3,1,0,0.3,27.9,70.9,7.57
1325,0.0,4.0,33,2586,0.7,0.3,0.5,18,4,2.0,2.5,21.5,59.6,0.1,0.1,0.1,7.37,10.0,37.0,250.0,0.0,0.2,1,0,0.0,13.0,70.8,6.58
1326,1.5,1.0,31,2524,4.1,1.5,1.3,0,6,0.9,0.9,64.7,88.5,1.2,2.6,0.1,7.37,34.0,145.0,961.0,3.0,1.6,0,4,1.6,73.5,86.6,7.57
1327,1.0,3.0,22,2341,1.7,0.8,1.6,4,9,1.7,1.1,51.4,88.0,0.5,1.4,0.2,7.35,29.0,152.0,868.0,3.0,1.2,0,0,2.0,63.6,89.7,7.62
1328,0.5,0.5,23,1036,2.1,2.4,0.2,1,3,0.1,0.4,53.6,88.8,0.1,3.5,0.0,7.51,34.0,145.0,451.0,1.7,1.5,0,1,0.2,66.0,92.7,7.35
1329,0.0,2.0,33,2592,2.5,2.6,0.6,5,4,0.5,0.5,48.8,81.2,0.1,2.5,0.1,7.5,22.0,101.0,298.0,2.8,1.3,0,0,0.0,32.0,86.7,6.91
1330,0.0,2.0,28,1306,1.3,1.4,1.2,1,3,1.1,0.5,60.7,91.6,0.8,5.1,0.2,7.48,29.0,152.0,449.0,1.8,0.8,0,1,0.8,64.7,92.0,7.26
1331,0.0,0.0,27,2385,2.1,2.2,0.1,5,1,0.2,0.3,64.1,89.3,0.0,4.0,0.1,7.43,34.0,145.0,990.0,2.0,1.5,1,0,0.1,59.5,90.7,7.27
1332,0.0,2.0,24,3064,2.6,0.9,2.0,2,7,0.8,0.6,65.4,92.2,1.6,5.8,0.1,7.42,29.0,152.0,969.0,2.6,1.2,0,3,1.8,71.0,95.1,7.33
1333,1.0,0.0,28,2254,1.7,2.4,0.3,4,1,0.0,0.4,60.2,90.0,0.0,5.6,0.1,7.42,29.0,152.0,696.0,3.1,3.5,0,0,0.3,64.4,88.2,7.25
1334,1.0,3.0,26,3375,0.7,0.2,2.5,43,18,2.0,1.3,61.4,82.9,0.5,2.7,0.9,8.84,34.0,145.0,1146.0,1.1,0.5,10,5,2.8,64.5,86.2,8.9
1335,2.0,3.0,29,3099,0.3,0.0,2.2,48,16,1.1,1.3,33.7,80.7,0.6,0.6,0.2,8.48,29.0,152.0,1065.0,0.2,0.2,10,3,1.3,35.7,81.5,7.83
1336,1.0,3.0,22,2573,1.3,0.3,1.6,22,7,2.0,1.8,46.7,81.0,0.1,1.1,0.1,7.96,34.0,145.0,1027.0,0.9,0.4,10,0,1.9,42.3,82.3,7.92
1337,1.0,3.0,22,2290,1.4,0.8,2.7,13,13,0.9,1.3,49.3,87.2,2.1,2.6,0.3,7.85,29.0,152.0,705.0,1.3,1.1,1,2,3.0,52.9,87.0,7.33
1338,1.0,3.0,27,2180,0.6,0.1,2.2,16,14,1.3,2.1,27.4,77.2,0.4,0.6,0.2,7.69,34.0,145.0,828.0,1.0,0.2,7,3,1.0,31.1,74.6,7.9
1339,1.0,3.0,24,2582,0.8,0.3,1.6,13,9,1.0,1.4,28.1,78.0,0.5,1.0,0.3,7.66,29.0,152.0,827.0,0.3,0.7,2,1,0.9,30.4,78.3,7.33
1340,0.0,4.0,26,2312,0.6,0.1,1.6,15,10,1.6,0.9,27.3,79.3,0.2,0.5,0.1,7.56,29.0,152.0,664.0,0.4,0.4,6,1,2.2,31.6,81.7,7.58
1341,1.0,0.0,19,1752,2.1,2.7,0.4,1,3,0.3,0.1,33.8,78.3,0.0,3.7,0.1,7.52,22.0,101.0,304.0,1.8,1.8,0,0,0.0,21.0,79.8,7.45
