,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
4,"455GabiInter, 25, AM(LR),FW","Gabi Inter, 25, AM(LR),FW",0(9),113,0.2,0.1,0.2,-,-,-,-,-,6.33,1,-,1.1,0.4,0.3,0.1,0.4,-,7.1,85.9,0.3,0.1,-
5,"456Anthony MounierAtalanta, 34, AM(CLR)","Anthony Mounier Atalanta, 34, AM(CLR)",0(5),99,0.6,0.4,0.2,-,0.2,-,-,-,6.32,-,-,1,0.6,0.4,0.2,0.8,1.2,6.2,74.2,0.8,0.4,-
6,"457Ricardo KishnaLazio, 27, AM(LR)","Ricardo Kishna Lazio, 27, AM(LR)",2(3),157,-,0.6,0.2,-,0.2,0.4,-,-,6.32,-,-,0.4,0.6,0.2,-,0.6,1.2,9.6,70.8,0.2,0.2,-
7,"458Marco StorariCagliari, 45, GK","Marco Storari Cagliari, 45, GK",15,1257,-,0.1,0.1,-,0.7,-,-,-,6.32,-,-,-,-,0.2,-,-,-,22.8,49.4,-,6.3,-
8,"459Mirko EramoSampdoria, 32, Midfielder","Mirko Eramo Sampdoria, 32, Midfielder",0(1),4,1,-,-,-,-,-,-,-,6.32,-,-,1,-,-,-,-,-,3.0,33.3,-,-,-
9,"460Massimo MaccaroneEmpoli, 42, FW","Massimo Maccarone Empoli, 42, FW",17(11),1511,0.4,0.1,0.9,-,0.5,0.4,0.1,-,6.32,5,2,1.8,0.3,1.5,0.6,1.3,1.5,12.5,67.9,-,0.1,-
0,"441Riccardo FiamozziGenoa, 29, D(R)","Riccardo Fiamozzi Genoa, 29, D(R)",1(3),105,0.3,0.5,0.3,-,0.3,0.3,-,-,6.36,-,-,0.3,0.8,0.3,-,0.5,0.8,13.0,92.3,0.3,0.5,-
1,"442Moise KeanJuventus, 22, AM(L),FW","Moise Kean Juventus, 22, AM(L),FW",0(3),18,-,-,0.3,-,-,-,-,-,6.35,1,-,0.3,-,0.3,-,0.3,1.0,0.3,100.0,-,-,-
2,"443Guido MarilungoEmpoli, 32, FW","Guido Marilungo Empoli, 32, FW",11(9),944,0.8,0.1,0.7,-,0.1,0.8,0.1,-,6.35,-,4,0.5,1,1.4,0.3,1.0,2.0,15.5,71.6,0.2,0.3,0.1
3,"444Jonathan de GuzmánChievo, 34, M(CLR)","Jonathan de Guzmán Chievo, 34, M(CLR)",15(12),1357,0.7,0.4,0.5,-,0.4,0.3,-,-,6.35,2,1,0.5,0.9,0.6,-,0.9,1.2,28.1,82.7,0.4,1.4,0.1
4,"445Emil KrafthBologna, 27, D(CR)","Emil Krafth Bologna, 27, D(CR)",16(10),1651,1.1,1.3,0.7,0.2,2.2,0.8,0.2,-,6.35,-,-,0.2,0.3,0.3,-,0.5,0.7,26.7,79.7,0.3,0.9,-
5,"446Alessandro CrescenziPescara, 30, D(LR)","Alessandro Crescenzi Pescara, 30, D(LR)",14(7),1404,1,0.8,1.1,0.1,1.6,0.2,0.2,-,6.35,-,1,0.3,0.5,1.0,0.1,0.5,0.4,26.6,80.8,0.3,1.3,-
6,"447Nicola RigoniChievo, 31, DMC","Nicola Rigoni Chievo, 31, DMC",5(7),501,1.5,-,1.3,-,1.1,1,0.3,-,6.34,1,-,0.6,0.2,0.1,-,0.3,0.3,18.8,71.6,-,0.9,-
7,"448Simone PadoinCagliari, 38, D(LR),M(CLR)","Simone Padoin Cagliari, 38, D(LR),M(CLR)",25(6),2174,1.2,0.8,0.8,-,0.9,0.6,0.1,-,6.34,1,1,0.3,0.6,0.8,-,0.7,0.7,24.1,79.7,0.3,1,-
8,"449Guglielmo StendardoPescara, 41, D(C)","Guglielmo Stendardo Pescara, 41, D(C)",9,647,1.2,1.2,0.6,0.2,4.3,0.6,0.1,-,6.34,-,-,0.3,0.1,0.6,-,0.1,0.2,20.6,81.1,-,1.1,-
9,"450Danilo CataldiGenoa, 27, M(C)","Danilo Cataldi Genoa, 27, M(C)",10(3),930,0.9,0.8,0.9,-,0.7,1,0.1,-,6.34,-,-,0.5,1.1,0.4,-,0.3,0.7,46.1,86.8,1.5,2.3,-
0,"431Filip DjuricicSampdoria, 30, AM(CLR),FW","Filip Djuricic Sampdoria, 30, AM(CLR),FW",3(16),502,0.6,0.2,0.6,-,0.2,0.4,0.1,-,6.38,-,1,0.3,0.5,0.5,-,1.4,0.6,17,83.3,-,0.3,0.2
1,"432Josip PosavecPalermo FC, 26, GK","Josip Posavec Palermo FC, 26, GK",29,2610,-,0.1,-,-,1.1,0.1,-,-,6.38,-,-,-,-,0.2,-,-,0.1,29.6,55.8,-,8.2,-
2,"433Patrick CutroneAC Milan, 24, FW","Patrick Cutrone AC Milan, 24, FW",0(1),5,-,1,1,-,1,-,-,-,6.37,-,-,1,-,-,-,-,-,-,-,-,-,-
3,"434Pietro IemmelloSassuolo, 30, FW","Pietro Iemmello Sassuolo, 30, FW",3(14),502,0.1,-,0.6,-,0.2,0.4,-,-,6.37,5,-,1.2,0.3,0.4,0.2,0.9,0.4,7.6,70.5,-,0.2,-
4,"435Boadu Maxwell AcostyCrotone, 30, AM(R)","Boadu Maxwell Acosty Crotone, 30, AM(R)",3(8),373,0.5,0.5,0.9,-,0.2,0.3,-,-,6.37,-,-,0.7,0.5,0.8,0.1,1.3,1.1,12.3,83,-,0.5,-
5,"436DodôSampdoria, 30, D(L),M(L)","Dodô Sampdoria, 30, D(L),M(L)",4(3),369,0.9,0.9,-,0.6,4.3,0.6,0.3,-,6.37,-,-,-,0.1,0.3,0.1,0.4,0.6,23.3,75.5,-,0.6,-
6,"437Manolo GabbiadiniNapoli, 30, AM(CLR),FW","Manolo Gabbiadini Napoli, 30, AM(CLR),FW",7(6),514,0.2,0.2,0.5,-,0.2,0.2,-,-,6.36,3,-,1.8,0.2,0.6,0.5,0.3,1.3,8.2,70.1,-,-,-
7,"438Simone ScuffetUdinese, 26, GK","Simone Scuffet Udinese, 26, GK",5(1),461,-,-,-,-,0.2,-,-,-,6.36,-,-,-,0.2,-,-,-,-,26.3,42.4,-,7.8,-
8,"439Oscar HiljemarkPalermo FC, 29, M(C)","Oscar Hiljemark Palermo FC, 29, M(C)",12(3),1054,0.9,0.8,0.9,-,0.6,0.6,0.1,-,6.36,-,-,0.8,0.8,0.4,0.1,0.9,0.7,38.7,85,0.4,1.5,0.1
9,"440Roberto BiancuCagliari, 22, Midfielder","Roberto Biancu Cagliari, 22, Midfielder",0(1),10,1,-,-,-,-,1,-,-,6.36,-,-,-,-,-,-,-,-,5,60,-,1,-
0,"421Serge GakpéGenoa, 35, AM(LR),FW","Serge Gakpé Genoa, 35, AM(LR),FW",3(5),309,0.6,0.3,1,-,0.5,0.3,-,-,6.39,1,-,1,0.8,0.6,0.5,0.3,0.8,10.4,69.9,0.3,0.3,-
1,"422Mariano IzcoChievo, 39, D(R),M(CR)","Mariano Izco Chievo, 39, D(R),M(CR)",12(13),1166,1.7,0.6,1,-,0.7,1.4,0.1,-,6.39,-,1,0.5,0.8,0.3,-,0.6,0.9,23.0,81.8,0.5,0.4,-
2,"423Oscar HiljemarkGenoa, 29, M(C)","Oscar Hiljemark Genoa, 29, M(C)",10(4),804,0.8,0.4,0.8,-,0.6,0.6,0.1,-,6.39,2,-,0.6,0.8,0.4,0.1,0.6,0.7,30.0,86.4,0.4,1,-
3,"424Alessandro DeiolaCagliari, 26, M(C)","Alessandro Deiola Cagliari, 26, M(C)",3(2),245,0.6,1.0,0.6,-,1.2,0.6,0.6,-,6.39,-,-,1,-,0.4,-,1,0.6,22.6,80.5,-,1.8,-
4,"425Davide BiraschiGenoa, 27, D(CR),M(R)","Davide Biraschi Genoa, 27, D(CR),M(R)",4(3),392,0.6,1.0,1.3,0.1,2.0,0.6,0.4,-,6.39,-,-,0.4,0.1,1.1,-,0.9,0.3,24.1,80.5,0.3,0.9,-
5,"426Bostjan CesarChievo, 39, D(C)","Bostjan Cesar Chievo, 39, D(C)",16(1),1435,0.9,1.4,1.6,0.2,4.8,0.5,0.6,-,6.38,1,-,0.5,0.1,1.3,-,0.1,0.6,35.9,85.2,-,2.5,-
6,"427Albano BizzarriPescara, 44, GK","Albano Bizzarri Pescara, 44, GK",29,2610,-,0.1,-,-,0.7,-,-,-,6.38,-,-,-,-,0.2,-,-,0.1,25.8,64.0,-,8.2,-
7,"428Stefano PettinariPescara, 30, Forward","Stefano Pettinari Pescara, 30, Forward",2(4),255,0.7,0.2,2,-,0.3,0.2,-,-,6.38,-,-,1.5,0.3,1.7,0.3,1,1.5,12.2,79.5,-,0.5,-
8,"429Antonio Floro FloresChievo, 38, AM(L),FW","Antonio Floro Flores Chievo, 38, AM(L),FW",6(6),554,0.6,0.1,0.5,-,0.1,0.3,-,-,6.38,-,1,1.8,0.5,1.5,0.8,0.9,2.4,12.8,71.9,0.1,0.4,-
9,"430Sergio FloccariBologna, 40, FW","Sergio Floccari Bologna, 40, FW",3(2),242,1.2,0.2,-,-,0.8,-,-,-,6.38,-,-,0.4,0.6,0.6,0.8,0.6,1.2,14.0,78.6,-,-,-
