,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
3,"314Jimmy BriandBordeaux, 36, M(LR),FW","Jimmy Briand Bordeaux, 36, M(LR),FW",28(7),2501,0.4,0.1,1.1,-,0.7,0.6,0.2,-,6.55,7,3,1.5,1.0,1.4,0.5,1.3,2.3,19.6,73.6,0.1,0.3,0.1
4,"315Yannis SaliburSaint-Etienne, 31, AM(CLR),FW","Yannis Salibur Saint-Etienne, 31, AM(CLR),FW",9(12),883,0.4,0.4,1.0,-,0.1,0.3,-,-,6.54,1,3,1.6,0.9,1.5,0.3,1.3,1,13.1,79.3,0.6,0.3,-
5,"316Myziane MaolidaNice, 23, AM(LR),FW","Myziane Maolida Nice, 23, AM(LR),FW",10(4),956,0.9,0.1,0.4,-,0.4,0.1,-,-,6.54,-,3,1.3,1.4,0.5,0.2,1.9,2.7,24.6,81.7,0.1,0.4,-
6,"317Kalidou SidibeToulouse, 23, DMC","Kalidou Sidibe Toulouse, 23, DMC",18(2),1271,1.2,0.9,2.0,0.1,1.3,0.4,0.2,-,6.54,1,-,0.2,0.2,0.7,-,0.8,0.5,29.4,73.5,-,1.0,-
7,"318Emmanuel ImorouCaen, 33, D(L)","Emmanuel Imorou Caen, 33, D(L)",12(4),1122,1.1,1.8,0.6,0.2,2.7,0.4,0.3,-,6.54,-,1,0.2,0.2,0.5,-,0.6,0.6,26.0,75.2,0.3,0.8,-
8,"319Laurent CimanDijon, 36, D(C)","Laurent Ciman Dijon, 36, D(C)",7(2),715,1.2,0.8,1.2,0.3,4.0,1.0,1,-,6.54,-,-,1.0,0.3,0.6,-,0.2,-,63.1,87.5,-,7.1,-
9,"320Claudio BeauvueCaen, 34, AM(CLR),FW","Claudio Beauvue Caen, 34, AM(CLR),FW",16(9),1498,0.7,0.4,0.8,-,0.8,0.5,0.1,-,6.54,3,-,1.6,0.6,1.1,0.2,0.6,2.3,13.4,67.0,0.2,0.4,-
0,"301Youssouf FofanaStrasbourg, 23, DMC","Youssouf Fofana Strasbourg, 23, DMC",10(7),911,1.6,0.6,1,-,0.4,1.1,-,-,6.57,2,1,0.7,0.4,0.5,-,0.5,1.7,19.9,77.9,0.1,0.8,-
1,"302Marc-Aurèle CaillardGuingamp, 28, GK","Marc-Aurèle Caillard Guingamp, 28, GK",21,1890,-,0.1,-,-,1.0,0.1,-,-,6.57,-,-,-,-,0.2,-,-,-,22.9,50.5,-,7.5,-
2,"303Jordan MariéDijon, 30, M(C)","Jordan Marié Dijon, 30, M(C)",20(6),1805,2,1.5,0.8,0.1,1.2,1.4,0.2,-,6.56,1,1,0.6,0.5,0.5,-,0.4,1.5,32.7,78.9,0.2,2,-
3,"304Anthony WalongwaNantes, 28, D(C)","Anthony Walongwa Nantes, 28, D(C)",1,90,-,1.0,1,-,1.0,-,2,-,6.56,-,-,1,-,-,-,-,-,37.0,91.9,-,-,-
4,"305Till CissokhoBordeaux, 22, Defender","Till Cissokho Bordeaux, 22, Defender",1,79,1,2.0,1,1,3.0,-,-,-,6.56,-,-,-,1,1,-,-,-,36.0,80.6,-,3,-
5,"306Boulaye DiaReims, 25, AM(R),FW","Boulaye Dia Reims, 25, AM(R),FW",8(10),746,0.7,0.2,0.5,-,0.5,0.3,0.1,-,6.56,3,-,1.1,0.4,0.7,0.1,0.8,1.6,8.6,68.4,-,0.1,-
6,"307Gen ShojiToulouse, 29, D(C)","Gen Shoji Toulouse, 29, D(C)",18,1620,1.3,1.2,0.5,0.3,2.9,0.7,0.8,-,6.56,-,-,0.1,0.3,0.4,-,0.3,0.2,40.4,84.9,-,4,-
7,"308Lebogang PhiriGuingamp, 27, DMC","Lebogang Phiri Guingamp, 27, DMC",23(1),1932,2.5,1.2,1.1,-,0.7,0.8,0.1,-,6.56,-,-,0.5,0.6,0.6,-,0.6,0.8,41.6,88.7,-,2.1,-
8,"309Igor LewczukBordeaux, 37, D(C)","Igor Lewczuk Bordeaux, 37, D(C)",3(3),448,2,0.7,0.7,0.2,4.5,0.5,0.3,-,6.55,-,-,-,-,-,-,-,0.5,32.5,86.7,0.2,1.5,-
9,"310Prince-Désir GouanoAmiens, 28, D(C)","Prince-Désir Gouano Amiens, 28, D(C)",30,2622,1.1,1.5,1.1,0.3,4.1,0.3,0.9,1,6.55,1,-,0.2,0.1,1.4,-,0.2,0.3,35.5,82.1,-,2.5,-
