,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
4,"15Son Heung-MinTottenham, 29, M(CLR),FW","Son Heung-Min Tottenham, 29, M(CLR),FW",4(2),365,1.3,0.3,0.7,-,0.2,1.5,-,-,7.68,5,1,3.0,0.8,0.7,0.5,1.0,0.7,21.2,81.9,0.2,0.3,-
5,"16Kevin De BruyneMan City, 30, M(CLR),FW","Kevin De Bruyne Man City, 30, M(CLR),FW",7,574,1.1,0.9,1.1,-,0.7,1.7,-,-,7.66,2,2,2.3,3.9,1.3,0.1,1.1,1.7,41.9,77.1,2.1,1.9,0.3
6,"17Riyad MahrezMan City, 31, AM(CLR),FW","Riyad Mahrez Man City, 31, AM(CLR),FW",6(1),572,1.3,0.7,1.0,-,0.1,2.0,-,-,7.63,1,4,1.9,2.0,2.9,0.1,1.1,1.9,45.4,88.1,0.6,2.1,-
7,"18Raheem SterlingMan City, 27, M(CLR),FW","Raheem Sterling Man City, 27, M(CLR),FW",6(3),599,0.7,0.7,0.6,-,0.2,0.9,0.1,-,7.59,6,3,2.7,1.8,1.8,0.3,2.0,1.8,23.9,80.0,0.2,0.1,0.1
8,"19Luis SuárezBarcelona, 35, AM(CLR),FW","Luis Suárez Barcelona, 35, AM(CLR),FW",6(1),568,0.3,0.6,0.9,-,0.6,0.3,-,-,7.59,5,2,3.1,1.6,2.3,0.4,0.6,1.7,25.6,73.2,0.1,1,-
9,"20Alex Oxlade ChamberlainLiverpool, 28, M(CLR)","Alex Oxlade Chamberlain Liverpool, 28, M(CLR)",3(2),282,1.4,0.6,0.2,-,-,0.8,-,-,7.57,3,1,2.6,1.0,0.2,-,1.6,1.4,36.8,83.7,0.8,2.6,-
0,"1Robert LewandowskiBayern, 33, FW","Robert Lewandowski Bayern, 33, FW",10,887,1.0,0.2,1.1,-,0.8,0.8,-,-,9.03,15,5,5.2,2.1,1.6,0.4,1.2,1.5,24.8,78.6,0.2,0.5,0.1
1,"2Lionel MessiBarcelona, 34, AM(CR),FW","Lionel Messi Barcelona, 34, AM(CR),FW",7(1),661,0.3,0.3,0.8,-,-,0.6,-,-,8.37,3,3,3.9,2.1,2.4,0.1,2.4,1.6,46.9,81.9,0.4,2.3,0.5
2,"3NeymarPSG, 30, AM(CLR),FW","Neymar PSG, 30, AM(CLR),FW",6(1),585,1.0,0.3,1.3,-,-,0.9,-,-,8.17,3,4,3.4,2.3,4.4,0.4,3.1,4.3,46.6,74.5,0.6,0.7,0.4
3,"4Harry KaneTottenham, 28, AM(C),FW","Harry Kane Tottenham, 28, AM(C),FW",5,450,0.6,-,0.8,-,0.8,0.4,-,-,8.08,6,-,4.6,0.8,1.4,0.6,0.8,1.4,19.6,75.5,0.2,1.2,0.2
4,"5Toni KroosReal Madrid, 32, M(C)","Toni Kroos Real Madrid, 32, M(C)",6,540,2.5,1.5,0.8,-,0.3,2,-,-,7.84,1,1,2.3,4,1.5,0.2,0.8,1.3,83.3,93.8,1.8,8.7,0.2
5,"6Jean-Clair TodiboBarcelona, 22, D(C)","Jean-Clair Todibo Barcelona, 22, D(C)",1,90,8.0,1,1.0,2,4,-,1,-,7.83,-,-,1.0,-,-,-,-,1.0,56.0,83.9,-,-,-
6,"7Alphonso DaviesBayern, 21, D(L),M(LR)","Alphonso Davies Bayern, 21, D(L),M(LR)",8,714,2.3,1.3,0.8,-,0.9,1.1,-,-,7.8,-,3,1.0,1.1,1.1,0.3,0.6,1.8,56.5,89.2,0.5,1.6,0.1
7,"8Gabriel JesusMan City, 25, AM(LR),FW","Gabriel Jesus Man City, 25, AM(LR),FW",7(1),590,0.8,1,0.9,-,0.4,0.6,0.3,-,7.79,6,3,3.1,2,1.1,0.5,1.9,2.3,24.1,86.5,-,0.1,0.1
8,"9ThiagoBayern, 31, M(C)","Thiago Bayern, 31, M(C)",9(1),823,3.4,2.3,1.9,-,0.4,1.2,-,-,7.76,-,2,0.7,1.5,0.9,-,0.7,1.2,83.2,91.0,-,8.5,0.3
9,"10Serge GnabryBayern, 26, AM(CLR),FW","Serge Gnabry Bayern, 26, AM(CLR),FW",9(1),766,2.1,0.5,1.1,-,0.2,1.5,-,-,7.75,9,2,2.7,1.2,1.1,0.2,0.4,2.6,36.3,85.1,0.3,0.7,0.2
