,Player,Player.1,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,C_Player,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating,Name,Club,Age,uefa_club,Position,CurrentPts,Pts,posX,posY
142,"3Luis SuárezBarcelona, 35, AM(CLR),FW","Luis Suárez Barcelona, 35, AM(CLR),FW",2830,0.5,0.2,0.9,0,0.7,0.2,0.1,7.57,21,6,3.4,1.4,1.7,0.8,1.6,2.3,29.0,75.3,0.2,1.5,0.1,"Luis Suárez Barcelona, 35, AM(CLR),FW",900.0,0.7,0.1,1,3,2.2,33.7,80.4,7.36,Luis Suárez,Barcelona,31,BAR  FC Barcelona  Barcelona,"AM(CLR),FW",30.000,138.0,1.0,3.0
143,"5Daniel ParejoValencia, 33, M(C)","Daniel Parejo Valencia, 33, M(C)",3063,2,1.3,0.8,0,0.6,1.6,0.2,7.4,9,7,1.2,2.3,1.5,0,0.6,0.9,61.5,85.8,1.9,5.6,0.1,"Daniel Parejo Valencia, 33, M(C)",450.0,1.4,0.4,0,0,1.8,79.0,88.4,6.48,Daniel Parejo,Valencia,29,VAL  Valencia CF  Valencia,M(C),23.000,37.0,0.0,2.0
144,"6Karim BenzemaReal Madrid, 34, FW","Karim Benzema Real Madrid, 34, FW",2964,0.7,0.2,0.6,0,0.7,0.4,0,7.38,21,6,2.9,1.3,0.6,1,1.3,1.7,32.9,82.6,0.1,1.1,0.1,"Karim Benzema Real Madrid, 34, FW",588.0,0.3,0.3,4,2,1.1,31.9,86.7,7.41,Karim Benzema,Real Madrid,30,RM  Real Madrid CF  Real Madrid,FW,19.000,146.0,0.0,4.0
145,"8Antoine GriezmannAtletico, 31, AM(CLR),FW","Antoine Griezmann Atletico, 31, AM(CLR),FW",3204,0.8,0.3,0.5,0,0.6,0.5,0,7.29,15,9,3.1,2.0,0.9,0.3,1.3,1.5,37.5,78.3,0.6,1.3,0.1,"Antoine Griezmann Atletico, 31, AM(CLR),FW",720.0,1.1,0.5,4,2,1.6,40.1,75.4,7.39,Antoine Griezmann,Atletico,27,ATL  Club Atlético de Madrid  Atlético,"AM(CLR),FW",20.000,127.0,1.0,3.0
146,"9Ousmane DembéléBarcelona, 25, AM(CLR),FW","Ousmane Dembélé Barcelona, 25, AM(CLR),FW",1673,0.8,0.2,0.8,0,0.1,0.4,0,7.25,8,5,1.3,1.6,0.8,0.3,1.5,1.3,31.4,80.7,0.8,1,0.1,"Ousmane Dembélé Barcelona, 25, AM(CLR),FW",417.0,0.3,0.1,3,1,1.9,25.5,78.4,7.06,Ousmane Dembélé,Barcelona,21,BAR  FC Barcelona  Barcelona,"AM(CLR),FW",30.000,138.0,1.0,3.0
147,"10RodriAtletico, 25, DMC","Rodri Atletico, 25, DMC",2743,3,1.2,1.7,0,2,1.1,0.3,7.24,3,1,0.8,0.5,1.3,0,0.9,0.6,56.7,91.1,0,3.4,0,"Rodri Atletico, 25, DMC",606.0,1.1,1.5,0,0,0.1,57.8,89.8,6.82,Rodri,Atletico,21,ATL  Club Atlético de Madrid  Atlético,DMC,20.000,127.0,0.0,1.0
148,"420Antonio CandrevaInter, 35, M(CLR)","Antonio Candreva Inter, 35, M(CLR)",493,0.1,0.2,0.4,0,0.3,0.4,0,6.38,1,0,1.2,0.9,0.6,0.2,0.6,0.4,11.9,82.7,0.9,0.4,0,"Antonio Candreva Inter, 35, M(CLR)",138.0,0,0,0,0,0.4,9.6,85.4,6.09,Antonio Candreva,Inter,31,INT  FC Internazionale Milano  Inter,M(CLR),15.000,31.0,1.0,2.0
149,"391Rick KarsdorpRoma, 27, D(R),M(R)","Rick Karsdorp Roma, 27, D(R),M(R)",595,0.8,1.1,0.5,0.3,1,0.5,0.2,6.44,0,1,0,0.4,0.2,0,0.5,0.5,28.7,79.1,0.5,2.5,0.1,"Rick Karsdorp Roma, 27, D(R),M(R)",76.0,1.5,0.5,0,0,0.5,16.0,71.9,5.74,Rick Karsdorp,Roma,23,ASR  AS Roma  Roma,"D(R),M(R)",17.000,81.0,2.0,1.0
150,"372Leonardo SpinazzolaJuventus, 29, D(LR),M(L)","Leonardo Spinazzola Juventus, 29, D(LR),M(L)",598,0.9,0.3,0.3,0.1,0.4,0.4,0,6.49,0,1,0.8,0.8,0.1,0.1,0.7,1.3,30.0,83.0,0.6,0.9,0,"Leonardo Spinazzola Juventus, 29, D(LR),M(L)",67.0,1.0,0,0,0,3,43.0,76.7,7.08,Leonardo Spinazzola,Juventus,25,JUV  Juventus  Juventus,"D(LR),M(L)",21.000,124.0,2.0,1.0
151,"375Simone VerdiNapoli, 29, AM(CLR),FW","Simone Verdi Napoli, 29, AM(CLR),FW",701,0.7,0.2,0.6,0,0.1,0.4,0,6.48,3,3,0.9,0.6,0.4,0,0.7,1.2,15.0,85.5,0.5,0.7,0.1,"Simone Verdi Napoli, 29, AM(CLR),FW",22.0,0,0,0,0,0,12.0,75,6.04,Simone Verdi,Napoli,25,NAP  SSC Napoli  Napoli,"AM(CLR),FW",18.000,80.0,1.0,3.0
152,"379Borja ValeroInter, 37, M(CL)","Borja Valero Inter, 37, M(CL)",1227,0.8,0.6,0.7,0,0.7,0.8,0,6.46,0,1,0.4,0.7,0.9,0,0.1,0.4,43.3,93.7,0.2,2.0,0,"Borja Valero Inter, 37, M(CL)",231.0,0.3,0.3,0,0,0.8,25.8,90.3,6.16,Borja Valero,Inter,33,INT  FC Internazionale Milano  Inter,M(CL),15.000,31.0,1.0,2.0
